      Names       Prices   Change  % Change
0   USD/INR      71.3500   0.0000   0.0000%
1   EUR/INR      78.6476   0.0000     0.00%
2   GBP/INR      91.1715   0.0000     0.00%
3   AED/INR      19.3830   0.0000     0.00%
4   INR/JPY       1.5280   0.0000     0.00%
5   SGD/INR      52.5030   0.0000     0.00%
6   USD/IDR  14,010.0000   0.0000   0.0000%
7   USD/THB      30.3900   0.0000   0.0000%
8   USD/MYR       4.1310   0.0000   0.0000%
9   USD/ZAR      14.8612   0.0000   0.0000%
10  USD/RUB      63.7894   0.0000   0.0000%
11  AUD/USD       0.6869   0.0000  -0.0000%
12  AUD/JPY      75.0200   0.0000     0.00%
13  NZD/USD       0.6332  -0.0000  -0.0063%
14  EUR/USD       1.1025   0.0000  -0.0000%
15  EUR/CAD       1.4572   0.0000     0.00%
16  USD/JPY     109.2300   0.0000   0.0000%
17  GBP/USD       1.2774   0.0000  -0.0000%
18  USD/CHF       0.9967  -0.0005  -0.0511%
19  USD/CAD       1.3223   0.0000   0.0000%
20  EUR/JPY     120.3900   0.0000     0.00%
21  GBP/JPY     139.6000   0.0000     0.00%
22  EUR/GBP       0.8623   0.0000     0.00%
23  EUR/SEK      10.6925   0.0000     0.00%
24  EUR/CHF       1.0987   0.0000     0.00%
25  EUR/HUF     333.3900   0.0000     0.00%
